"촬영ID","공간ID","층","종류","이름","폴더","현장확인"
"3F_ANNEX_STAIR_E","3F_ANNEX_STAIR_E","3F","stair","2-5 교실과 2-4 교실 사이 계단","촬영사진_넣는곳/3층/계단/2-5 교실과 2-4 교실 사이 계단","필요"
"3F_ANNEX_STAIR_E_LANDING","3F_ANNEX_STAIR_E","3F","stair_landing","3층 2-5 교실과 2-4 교실 사이 계단 입구와 계단참","촬영사진_넣는곳/3층/계단/2-5 교실과 2-4 교실 사이 계단/01_해당층_계단입구와참","필요"
"3F_ANNEX_STAIR_E_UP","3F_ANNEX_STAIR_E","3F","stair_flight","3층→4층 2-5 교실과 2-4 교실 사이 계단","촬영사진_넣는곳/3층/계단/2-5 교실과 2-4 교실 사이 계단/02_3층에서_4층으로_올라가는구간","필요"
"4F_ANNEX_STAIR_E","4F_ANNEX_STAIR_E","4F","stair","2-2 교실과 2-1 교실 사이 계단","촬영사진_넣는곳/4층/계단/2-2 교실과 2-1 교실 사이 계단","필요"
"4F_ANNEX_STAIR_E_LANDING","4F_ANNEX_STAIR_E","4F","stair_landing","4층 2-2 교실과 2-1 교실 사이 계단 입구와 계단참","촬영사진_넣는곳/4층/계단/2-2 교실과 2-1 교실 사이 계단/01_해당층_계단입구와참","필요"
"1F_3-1_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_01","1F","corridor_doorway","3-1 교실 앞 복도","촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도/3-1 교실 앞 복도","필요"
"1F_3-2_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_01","1F","corridor_doorway","3-2 교실 앞 복도","촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도/3-2 교실 앞 복도","필요"
"1F_3-3_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_01","1F","corridor_doorway","3-3 교실 앞 복도","촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도/3-3 교실 앞 복도","필요"
"1F_3-4_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_01","1F","corridor_doorway","3-4 교실 앞 복도","촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도/3-4 교실 앞 복도","필요"
"2F_1-1_FRONT_CORRIDOR","2F_ANNEX_CORRIDOR_01","2F","corridor_doorway","1-1 교실 앞 복도","촬영사진_넣는곳/2층/복도/개별학습실2에서 1-1 교실까지 복도/1-1 교실 앞 복도","필요"
"2F_1-2_FRONT_CORRIDOR","2F_ANNEX_CORRIDOR_01","2F","corridor_doorway","1-2 교실 앞 복도","촬영사진_넣는곳/2층/복도/개별학습실2에서 1-1 교실까지 복도/1-2 교실 앞 복도","필요"
"1F_1-3_FRONT_CORRIDOR","1F_ANNEX_CORRIDOR_01","1F","corridor_doorway","1-3 교실 앞 복도","촬영사진_넣는곳/1층/복도/1-6 교실에서 1-3 교실까지 복도/1-3 교실 앞 복도","필요"
"1F_1-4_FRONT_CORRIDOR","1F_ANNEX_CORRIDOR_01","1F","corridor_doorway","1-4 교실 앞 복도","촬영사진_넣는곳/1층/복도/1-6 교실에서 1-3 교실까지 복도/1-4 교실 앞 복도","필요"
"1F_1-5_FRONT_CORRIDOR","1F_ANNEX_CORRIDOR_01","1F","corridor_doorway","1-5 교실 앞 복도","촬영사진_넣는곳/1층/복도/1-6 교실에서 1-3 교실까지 복도/1-5 교실 앞 복도","필요"
"1F_1-6_FRONT_CORRIDOR","1F_ANNEX_CORRIDOR_01","1F","corridor_doorway","1-6 교실 앞 복도","촬영사진_넣는곳/1층/복도/1-6 교실에서 1-3 교실까지 복도/1-6 교실 앞 복도","필요"
"2F_3-5_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_02","2F","corridor_doorway","3-5 교실 앞 복도","촬영사진_넣는곳/2층/복도/교무실에서 과학실까지 복도/3-5 교실 앞 복도","필요"
"2F_3-6_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_02","2F","corridor_doorway","3-6 교실 앞 복도","촬영사진_넣는곳/2층/복도/교무실에서 과학실까지 복도/3-6 교실 앞 복도","필요"
"4F_2-1_FRONT_CORRIDOR","4F_ANNEX_CORRIDOR_01","4F","corridor_doorway","2-1 교실 앞 복도","촬영사진_넣는곳/4층/복도/4-4 교실에서 컴퓨터실까지 복도/2-1 교실 앞 복도","필요"
"4F_2-2_FRONT_CORRIDOR","4F_ANNEX_CORRIDOR_01","4F","corridor_doorway","2-2 교실 앞 복도","촬영사진_넣는곳/4층/복도/4-4 교실에서 컴퓨터실까지 복도/2-2 교실 앞 복도","필요"
"4F_2-3_FRONT_CORRIDOR","4F_ANNEX_CORRIDOR_01","4F","corridor_doorway","2-3 교실 앞 복도","촬영사진_넣는곳/4층/복도/4-4 교실에서 컴퓨터실까지 복도/2-3 교실 앞 복도","필요"
"3F_2-4_FRONT_CORRIDOR","3F_ANNEX_CORRIDOR_01","3F","corridor_doorway","2-4 교실 앞 복도","촬영사진_넣는곳/3층/복도/4-7 교실에서 개별학습실3까지 복도/2-4 교실 앞 복도","필요"
"3F_2-5_FRONT_CORRIDOR","3F_ANNEX_CORRIDOR_01","3F","corridor_doorway","2-5 교실 앞 복도","촬영사진_넣는곳/3층/복도/4-7 교실에서 개별학습실3까지 복도/2-5 교실 앞 복도","필요"
"2F_2-6_FRONT_CORRIDOR","2F_ANNEX_CORRIDOR_01","2F","corridor_doorway","2-6 교실 앞 복도","촬영사진_넣는곳/2층/복도/개별학습실2에서 1-1 교실까지 복도/2-6 교실 앞 복도","필요"
"3F_5-1_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_02","3F","corridor_doorway","5-1 교실 앞 복도","촬영사진_넣는곳/3층/복도/5-2 교실에서 4-6 교실까지 복도/5-1 교실 앞 복도","필요"
"3F_5-2_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_02","3F","corridor_doorway","5-2 교실 앞 복도","촬영사진_넣는곳/3층/복도/5-2 교실에서 4-6 교실까지 복도/5-2 교실 앞 복도","필요"
"3F_5-3_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_01","3F","corridor_doorway","5-3 교실 앞 복도","촬영사진_넣는곳/3층/복도/5-7 교실에서 5-3 교실까지 복도/5-3 교실 앞 복도","필요"
"3F_5-4_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_01","3F","corridor_doorway","5-4 교실 앞 복도","촬영사진_넣는곳/3층/복도/5-7 교실에서 5-3 교실까지 복도/5-4 교실 앞 복도","필요"
"3F_5-5_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_01","3F","corridor_doorway","5-5 교실 앞 복도","촬영사진_넣는곳/3층/복도/5-7 교실에서 5-3 교실까지 복도/5-5 교실 앞 복도","필요"
"3F_5-6_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_01","3F","corridor_doorway","5-6 교실 앞 복도","촬영사진_넣는곳/3층/복도/5-7 교실에서 5-3 교실까지 복도/5-6 교실 앞 복도","필요"
"3F_5-7_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_01","3F","corridor_doorway","5-7 교실 앞 복도","촬영사진_넣는곳/3층/복도/5-7 교실에서 5-3 교실까지 복도/5-7 교실 앞 복도","필요"
"3F_4-5_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_02","3F","corridor_doorway","4-5 교실 앞 복도","촬영사진_넣는곳/3층/복도/5-2 교실에서 4-6 교실까지 복도/4-5 교실 앞 복도","필요"
"3F_4-6_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_02","3F","corridor_doorway","4-6 교실 앞 복도","촬영사진_넣는곳/3층/복도/5-2 교실에서 4-6 교실까지 복도/4-6 교실 앞 복도","필요"
"2F_3-7_FRONT_CORRIDOR","2F_ANNEX_CORRIDOR_01","2F","corridor_doorway","3-7 교실 앞 복도","촬영사진_넣는곳/2층/복도/개별학습실2에서 1-1 교실까지 복도/3-7 교실 앞 복도","필요"
"4F_6-1_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_02","4F","corridor_doorway","6-1 교실 앞 복도","촬영사진_넣는곳/4층/복도/6-2 교실에서 4-2 교실까지 복도/6-1 교실 앞 복도","필요"
"4F_6-2_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_02","4F","corridor_doorway","6-2 교실 앞 복도","촬영사진_넣는곳/4층/복도/6-2 교실에서 4-2 교실까지 복도/6-2 교실 앞 복도","필요"
"4F_6-3_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_01","4F","corridor_doorway","6-3 교실 앞 복도","촬영사진_넣는곳/4층/복도/6-7 교실에서 6-3 교실까지 복도/6-3 교실 앞 복도","필요"
"4F_6-4_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_01","4F","corridor_doorway","6-4 교실 앞 복도","촬영사진_넣는곳/4층/복도/6-7 교실에서 6-3 교실까지 복도/6-4 교실 앞 복도","필요"
"4F_6-5_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_01","4F","corridor_doorway","6-5 교실 앞 복도","촬영사진_넣는곳/4층/복도/6-7 교실에서 6-3 교실까지 복도/6-5 교실 앞 복도","필요"
"4F_6-6_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_01","4F","corridor_doorway","6-6 교실 앞 복도","촬영사진_넣는곳/4층/복도/6-7 교실에서 6-3 교실까지 복도/6-6 교실 앞 복도","필요"
"4F_6-7_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_01","4F","corridor_doorway","6-7 교실 앞 복도","촬영사진_넣는곳/4층/복도/6-7 교실에서 6-3 교실까지 복도/6-7 교실 앞 복도","필요"
"4F_4-1_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_02","4F","corridor_doorway","4-1 교실 앞 복도","촬영사진_넣는곳/4층/복도/6-2 교실에서 4-2 교실까지 복도/4-1 교실 앞 복도","필요"
"4F_4-2_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_02","4F","corridor_doorway","4-2 교실 앞 복도","촬영사진_넣는곳/4층/복도/6-2 교실에서 4-2 교실까지 복도/4-2 교실 앞 복도","필요"
"4F_4-3_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_02","4F","corridor_doorway","4-3 교실 앞 복도","촬영사진_넣는곳/4층/복도/6-2 교실에서 4-2 교실까지 복도/4-3 교실 앞 복도","필요"
"4F_4-4_FRONT_CORRIDOR","4F_ANNEX_CORRIDOR_01","4F","corridor_doorway","4-4 교실 앞 복도","촬영사진_넣는곳/4층/복도/4-4 교실에서 컴퓨터실까지 복도/4-4 교실 앞 복도","필요"
"3F_4-7_FRONT_CORRIDOR","3F_ANNEX_CORRIDOR_01","3F","corridor_doorway","4-7 교실 앞 복도","촬영사진_넣는곳/3층/복도/4-7 교실에서 개별학습실3까지 복도/4-7 교실 앞 복도","필요"
"3F_4-8_FRONT_CORRIDOR","3F_ANNEX_CORRIDOR_01","3F","corridor_doorway","4-8 교실 앞 복도","촬영사진_넣는곳/3층/복도/4-7 교실에서 개별학습실3까지 복도/4-8 교실 앞 복도","필요"
"1F_STORAGE_1_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_01","1F","corridor_doorway","창고 1 앞 복도","촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도/창고 1 앞 복도","필요"
"1F_STORAGE_2_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_01","1F","corridor_doorway","창고 2 앞 복도","촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도/창고 2 앞 복도","필요"
"1F_MULTIPURPOSE_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_01","1F","corridor_doorway","다목적실 앞 복도","촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도/다목적실 앞 복도","필요"
"1F_NIGHT_DUTY_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_01","1F","corridor_doorway","숙직실 앞 복도","촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도/숙직실 앞 복도","필요"
"1F_ADMIN_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_02","1F","corridor_doorway","행정실 앞 복도","촬영사진_넣는곳/1층/복도/행정실에서 급식실까지 복도/행정실 앞 복도","필요"
"1F_NURSE_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_02","1F","corridor_doorway","보건실 앞 복도","촬영사진_넣는곳/1층/복도/행정실에서 급식실까지 복도/보건실 앞 복도","필요"
"1F_PRINTING_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_02","1F","corridor_doorway","발간실 앞 복도","촬영사진_넣는곳/1층/복도/행정실에서 급식실까지 복도/발간실 앞 복도","필요"
"1F_MEAL_CART_STORAGE_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_02","1F","corridor_doorway","배식차 보관실 앞 복도","촬영사진_넣는곳/1층/복도/행정실에서 급식실까지 복도/배식차 보관실 앞 복도","필요"
"1F_NUTRITION_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_02","1F","corridor_doorway","영양교사실 앞 복도","촬영사진_넣는곳/1층/복도/행정실에서 급식실까지 복도/영양교사실 앞 복도","필요"
"1F_COOKING_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_02","1F","corridor_doorway","조리실 앞 복도","촬영사진_넣는곳/1층/복도/행정실에서 급식실까지 복도/조리실 앞 복도","필요"
"1F_CAFETERIA_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_02","1F","corridor_doorway","급식실 앞 복도","촬영사진_넣는곳/1층/복도/행정실에서 급식실까지 복도/급식실 앞 복도","필요"
"3F_GRADE1_RESEARCH_FRONT_CORRIDOR","3F_ANNEX_CORRIDOR_01","3F","corridor_doorway","1학년 연수실 앞 복도","촬영사진_넣는곳/3층/복도/4-7 교실에서 개별학습실3까지 복도/1학년 연수실 앞 복도","필요"
"4F_KINDERGARTEN_FRONT_CORRIDOR","4F_ANNEX_CORRIDOR_01","4F","corridor_doorway","까치방 앞 복도","촬영사진_넣는곳/4층/복도/4-4 교실에서 컴퓨터실까지 복도/까치방 앞 복도","필요"
"4F_COMPUTER_FRONT_CORRIDOR","4F_ANNEX_CORRIDOR_01","4F","corridor_doorway","컴퓨터실 앞 복도","촬영사진_넣는곳/4층/복도/4-4 교실에서 컴퓨터실까지 복도/컴퓨터실 앞 복도","필요"
"2F_AUDIO_VISUAL_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_01","2F","corridor_doorway","시청각실 앞 복도","촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/시청각실 앞 복도","필요"
"2F_KOREAN_CLASS_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_01","2F","corridor_doorway","한국어학급 앞 복도","촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/한국어학급 앞 복도","필요"
"2F_CARE_DREAM_HOPE_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_01","2F","corridor_doorway","돌봄교실(꿈희망) 앞 복도","촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/돌봄교실(꿈희망) 앞 복도","필요"
"2F_CARE_DREAM_WISH_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_01","2F","corridor_doorway","돌봄교실(꿈소망) 앞 복도","촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/돌봄교실(꿈소망) 앞 복도","필요"
"2F_CARE_DREAM_LOVE_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_01","2F","corridor_doorway","돌봄교실(꿈사랑) 앞 복도","촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/돌봄교실(꿈사랑) 앞 복도","필요"
"2F_PRINCIPAL_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_01","2F","corridor_doorway","교장실 앞 복도","촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/교장실 앞 복도","필요"
"2F_OPERATIONS_MEETING_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_01","2F","corridor_doorway","학교운영위원회의실 앞 복도","촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/학교운영위원회의실 앞 복도","필요"
"2F_STAFF_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_01","2F","corridor_doorway","교무실 앞 복도","촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/교무실 앞 복도","필요"
"2F_BROADCAST_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_02","2F","corridor_doorway","방송실(교원회의실) 앞 복도","촬영사진_넣는곳/2층/복도/교무실에서 과학실까지 복도/방송실(교원회의실) 앞 복도","필요"
"2F_SCIENCE_PREP_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_02","2F","corridor_doorway","과학준비실 앞 복도","촬영사진_넣는곳/2층/복도/교무실에서 과학실까지 복도/과학준비실 앞 복도","필요"
"2F_INTELLIGENT_SCIENCE_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_02","2F","corridor_doorway","지능형과학실 앞 복도","촬영사진_넣는곳/2층/복도/교무실에서 과학실까지 복도/지능형과학실 앞 복도","필요"
"2F_SCIENCE_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_02","2F","corridor_doorway","과학실 앞 복도","촬영사진_넣는곳/2층/복도/교무실에서 과학실까지 복도/과학실 앞 복도","필요"
"4F_GRADE2_RESEARCH_FRONT_CORRIDOR","4F_ANNEX_CORRIDOR_01","4F","corridor_doorway","2학년 연수실 앞 복도","촬영사진_넣는곳/4층/복도/4-4 교실에서 컴퓨터실까지 복도/2학년 연수실 앞 복도","필요"
"3F_COUNSELING_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_01","3F","corridor_doorway","상담실 앞 복도","촬영사진_넣는곳/3층/복도/5-7 교실에서 5-3 교실까지 복도/상담실 앞 복도","필요"
"3F_GRADE5_RESEARCH_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_01","3F","corridor_doorway","5학년 연수실 앞 복도","촬영사진_넣는곳/3층/복도/5-7 교실에서 5-3 교실까지 복도/5학년 연수실 앞 복도","필요"
"3F_BOOK_LIBRARY_FRONT_CORRIDOR","3F_MAIN_CORRIDOR_02","3F","corridor_doorway","책터 도서관 앞 복도","촬영사진_넣는곳/3층/복도/5-2 교실에서 4-6 교실까지 복도/책터 도서관 앞 복도","필요"
"4F_GRADE6_RESEARCH_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_01","4F","corridor_doorway","6학년 연수실 앞 복도","촬영사진_넣는곳/4층/복도/6-7 교실에서 6-3 교실까지 복도/6학년 연수실 앞 복도","필요"
"4F_GRADE4_RESEARCH_FRONT_CORRIDOR","4F_MAIN_CORRIDOR_02","4F","corridor_doorway","4학년 연수실 앞 복도","촬영사진_넣는곳/4층/복도/6-2 교실에서 4-2 교실까지 복도/4학년 연수실 앞 복도","필요"
"2F_INDIVIDUAL_1_FRONT_CORRIDOR","2F_ANNEX_CORRIDOR_01","2F","corridor_doorway","개별학습실1 앞 복도","촬영사진_넣는곳/2층/복도/개별학습실2에서 1-1 교실까지 복도/개별학습실1 앞 복도","필요"
"2F_INDIVIDUAL_2_FRONT_CORRIDOR","2F_ANNEX_CORRIDOR_01","2F","corridor_doorway","개별학습실2 앞 복도","촬영사진_넣는곳/2층/복도/개별학습실2에서 1-1 교실까지 복도/개별학습실2 앞 복도","필요"
"3F_INDIVIDUAL_3_FRONT_CORRIDOR","3F_ANNEX_CORRIDOR_01","3F","corridor_doorway","개별학습실3 앞 복도","촬영사진_넣는곳/3층/복도/4-7 교실에서 개별학습실3까지 복도/개별학습실3 앞 복도","필요"
"1F_INDIVIDUAL_4_FRONT_CORRIDOR","1F_ANNEX_CORRIDOR_01","1F","corridor_doorway","개별학습실4 앞 복도","촬영사진_넣는곳/1층/복도/1-6 교실에서 1-3 교실까지 복도/개별학습실4 앞 복도","필요"
"1F_INDIVIDUAL_5_FRONT_CORRIDOR","1F_ANNEX_CORRIDOR_01","1F","corridor_doorway","개별학습실5 앞 복도","촬영사진_넣는곳/1층/복도/1-6 교실에서 1-3 교실까지 복도/개별학습실5 앞 복도","필요"
"2F_GRADE3_RESEARCH_FRONT_CORRIDOR","2F_MAIN_CORRIDOR_01","2F","corridor_doorway","3학년 연수실 앞 복도","촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/3학년 연수실 앞 복도","필요"
"1F_MAIN_LOBBY_FRONT_CORRIDOR","1F_MAIN_CORRIDOR_01","1F","corridor_doorway","본관 출입구 앞 복도","촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도/본관 출입구 앞 복도","필요"
"EXT_MAIN_CLASSROOM_STEPS","EXT_MAIN_CLASSROOM_STEPS","EXTERIOR","exterior_stair","3-4·3-3·3-2 교실 앞 운동장 쪽 야외계단","촬영사진_넣는곳/외부/계단/3-4·3-3·3-2 교실 앞 운동장 쪽 야외계단","필요"
"TODO_UNASSIGNED","TODO_UNASSIGNED","UNKNOWN","unassigned","촬영 위치 미확인","촬영사진_넣는곳/미분류_촬영위치확인필요","필요"
